9000 0
9000 0.000
10000 21.208
12000 47.585
14000 55.379
16000 59.765
18000 62.501
20000 65.086
25000 65.851
30000 66.219
35000 66.303
40000 66.411
45000 66.427
50000 66.477
60000 66.543
70000 66.550
80000 66.554
90000 66.555
100000 66.556
120000 66.556
140000 66.556
160000 66.556
180000 66.556
200000 66.556
250000 66.556
300000 66.556
600000 66.556
1000000 92.678
1200000 96.785
1400000 97.234
1600000 97.502
1800000 97.678
2000000 97.950
2500000 98.084
3000000 98.150
3500000 98.194
4000000 98.230
4500000 98.263
5000000 98.334
6000000 98.414
7000000 98.495
8000000 98.583
9000000 98.675
10000000 98.859
12000000 99.049
14000000 99.234
16000000 99.419
18000000 99.582
20000000 99.786
25000000 99.858
30000000 99.889
35000000 99.915
40000000 99.936
45000000 99.949
50000000 99.965
60000000 99.969
70000000 99.969
80000000 99.969
90000000 99.969
100000000 99.969
120000000 99.969
140000000 99.969
160000000 99.969
180000000 99.969
200000000 99.969
250000000 99.970
300000000 99.970
350000000 99.971
400000000 99.971
450000000 99.971
500000000 99.973
600000000 99.974
700000000 99.975
800000000 99.976
900000000 99.978
1000000000 99.981
1200000000 99.984
1400000000 99.987
1600000000 99.990
1800000000 99.993
2000000000 99.997
2500000000 99.999
3000000000 100.000
3500000000 100.000
4000000000 100.000
5000000000 100.000
