140000 0
140000 8.547
160000 42.151
180000 48.277
200000 56.073
250000 60.266
300000 61.560
350000 61.806
400000 62.169
450000 62.217
500000 62.372
600000 62.392
700000 62.399
800000 62.492
900000 62.497
1000000 62.534
1200000 86.800
1400000 89.125
1600000 90.124
1800000 90.821
2000000 91.510
2500000 91.658
3000000 91.757
3500000 91.853
4000000 91.939
4500000 92.027
5000000 92.234
6000000 92.497
7000000 92.789
8000000 93.121
9000000 93.449
10000000 94.107
12000000 94.783
14000000 95.471
16000000 96.127
18000000 96.777
20000000 98.059
25000000 98.878
30000000 99.100
35000000 99.247
40000000 99.390
45000000 99.457
50000000 99.473
60000000 99.479
80000000 99.479
120000000 99.480
250000000 99.480
300000000 99.480
350000000 99.481
400000000 99.481
500000000 99.482
600000000 99.484
700000000 99.485
800000000 99.487
900000000 99.490
1000000000 99.500
1200000000 99.515
1400000000 99.532
1600000000 99.560
1800000000 99.587
2000000000 99.692
2500000000 99.806
3000000000 99.902
3500000000 99.972
4000000000 99.994
4500000000 99.999
5000000000 100.000
