2000 0
2000 0.001
6000 0.004
12000 0.007
14000 0.011
16000 0.021
18000 0.063
20000 0.243
25000 0.526
30000 0.697
35000 0.782
40000 1.030
45000 1.877
50000 5.180
60000 7.937
70000 17.609
80000 22.081
90000 27.671
100000 35.010
120000 37.060
140000 37.831
160000 38.293
180000 38.595
200000 39.555
250000 46.904
300000 55.663
350000 61.592
400000 66.297
450000 70.901
500000 77.636
600000 81.325
700000 84.730
800000 87.223
900000 89.070
1000000 92.039
1200000 94.038
1400000 95.454
1600000 96.344
1800000 96.921
2000000 97.486
2500000 97.641
3000000 97.762
3500000 97.839
4000000 98.286
4500000 98.383
5000000 98.825
6000000 98.828
7000000 98.829
8000000 98.830
20000000 98.833
25000000 99.903
30000000 99.962
35000000 99.995
40000000 99.998
45000000 99.999
50000000 100.000
