16000 0
16000 0.001
20000 0.002
25000 0.015
30000 0.125
35000 0.434
40000 0.948
45000 1.974
50000 9.016
60000 16.185
70000 22.683
80000 28.788
90000 32.421
100000 36.581
120000 38.326
140000 39.278
160000 40.285
180000 41.007
200000 42.470
250000 43.465
300000 44.301
350000 44.875
400000 45.383
450000 46.335
500000 48.778
600000 51.898
700000 54.878
800000 58.986
900000 61.921
1000000 66.697
1200000 69.827
1400000 72.624
1600000 75.468
1800000 77.774
2000000 82.440
2500000 86.258
3000000 88.951
3500000 90.504
4000000 92.460
4500000 94.427
5000000 95.035
6000000 95.145
7000000 95.206
8000000 95.235
9000000 95.244
10000000 95.250
12000000 95.253
20000000 97.287
25000000 99.002
30000000 99.317
35000000 99.826
40000000 99.918
45000000 99.970
50000000 99.999
60000000 100.000
