2000 0
2000 0.009
3000 0.013
4000 0.067
5000 0.195
6000 0.233
7000 0.239
8000 0.295
9000 0.393
10000 0.505
12000 0.512
14000 0.513
100000 0.516
120000 0.531
140000 0.539
160000 0.556
180000 0.577
200000 1.196
250000 1.226
300000 1.252
350000 1.301
400000 1.908
450000 2.026
500000 2.131
600000 2.683
700000 2.728
800000 3.241
900000 3.293
1000000 4.098
1200000 4.887
1400000 6.225
1600000 9.485
1800000 11.822
2000000 20.407
2500000 95.467
3000000 99.812
3500000 99.955
4000000 99.990
4500000 99.998
5000000 100.000
