80000 0
80000 0.001
90000 0.015
100000 1.428
120000 13.546
140000 21.429
160000 26.025
180000 31.248
200000 38.932
250000 48.352
300000 56.392
350000 61.330
400000 64.378
450000 66.258
500000 67.500
600000 68.123
700000 68.481
800000 68.724
900000 68.904
1000000 69.418
1200000 87.667
1400000 95.037
1600000 96.113
1800000 96.512
2000000 97.980
2500000 98.973
3000000 99.799
3500000 99.934
4000000 99.963
4500000 99.972
5000000 99.982
6000000 99.989
7000000 99.992
8000000 99.994
9000000 99.995
10000000 99.996
12000000 99.997
14000000 99.998
16000000 99.999
18000000 99.999
20000000 100.000
25000000 100.000
30000000 100.000
35000000 100.000
